sic|sic_name|naics2017
24319902|PLANING MILL, MILLWORK|321918
30691007|RODS, HARD RUBBER|326299
73840202|FILM PROCESSING AND FINISHING LABORATORY|812921
07629902|ORCHARD MANAGEMENT AND MAINTENANCE SERVICES|115116
27969906|LITHOGRAPHIC PLATES, POSITIVE OR NEGATIVES|323120
23920404|SCARVES: TABLE, DRESSER, ETC: FROM PURCHASED MATER|314120
23920405|TABLE MATS, PLASTIC & TEXTILE|314120
23920406|TABLECLOTHS: MADE FROM PURCHASED MATERIALS|314120
36390000|HOUSEHOLD APPLIANCES|335220
23920400|TABLECLOTHS & TABLE SETTINGS|314120
23920401|NAPKINS, FABRIC & NONWOVEN: MADE FROM PURCHASED MA|314120
23920402|PADS & PADDING, TABLE: EXCEPT ASBESTOS, FELT OR RA|314120
23920403|PLACEMATS, PLASTIC OR TEXTILE|314120
20630102|BEET SUGAR, FROM BEET SUGAR REFINERY|311313
73840203|HOME MOVIES, DEVELOPING AND PROCESSING|812921
34830000|AMMUNITION, EXCEPT FOR SMALL ARMS|332993
20410300|FLOUR MIXES|311211
20410301|BREAD & BREAD-TYPE ROLL MIXES|311211
20410302|PIZZA MIXES|311211
33120201|IRON, PIG|331221
33120200|BLAST FURNACE & RELATED PRODUCTS|331221
33120202|SPONGE IRON|331221
01759910|PRUNE ORCHARD|111339
01759911|QUINCE ORCHARD|111339
20630103|GRANULATED SUGAR, FROM SUGAR BEETS|311313
26310303|CORRUGATING MEDIUM|322211
26310302|CONTAINER BOARD|322211
26310301|BOXBOARD|322212
26310300|CONTAINER, PACKAGING & BOXBOARD|322219
26310306|SETUP BOXBOARD|322219
26310305|PACKAGING BOARD|322219
26310304|FOLDING BOXBOARD|322219
20920102|SOUPS, FISH & SEAFOOD: FROZEN|311710
20920103|STEWS, FISH & SEAFOOD: FROZEN|311710
20920100|FRESH & FROZEN FISH OR SEAFOOD CHOWDERS, SOUPS, & |311710
20920101|CHOWDERS, FISH & SEAFOOD: FROZEN|311710
55510402|OUTBOARD MOTORS, RETAIL|441222
12210201|COAL PREPARATION PLANT, BITUMINOUS OR LIGNITE|212111
34430110|FUEL TANKS (OIL, GAS, ETC), METAL PLATE|332313
34430111|GAS HOLDERS, METAL PLATE|332313
34430112|HOPPERS, METAL PLATE|332313
34430113|HOUSINGS, PRESSURE|332313
34430114|JACKETS, INDUSTRIAL: METAL PLATE|332313
34430115|PROCESS VESSELS, INDUSTRIAL: METAL PLATE|332313
