01190000|CASH GRAINS                                       ||111199|Agriculture, Forestry, Fishing and Hunting|Crop Production|Oilseed and Grain Farming|Other Grain Farming|All Other Grain Farming
01199900|CASH GRAINS, NEC, NEC                             ||111199|Agriculture, Forestry, Fishing and Hunting|Crop Production|Oilseed and Grain Farming|Other Grain Farming|All Other Grain Farming
01390200|FOOD CROPS                                        ||111998|Agriculture, Forestry, Fishing and Hunting|Crop Production|Other Crop Farming|All Other Crop Farming|All Other Miscellaneous Crop Farming
01810000|ORNAMENTAL NURSERY PRODUCTS                       ||111421|Agriculture, Forestry, Fishing and Hunting|Crop Production|Greenhouse, Nursery, and Floriculture Production|Nursery and Floriculture Production|Nursery and Tree Production
01810100|PLANTS, FOLIAGE AND SHRUBBERIES                   ||111421|Agriculture, Forestry, Fishing and Hunting|Crop Production|Greenhouse, Nursery, and Floriculture Production|Nursery and Floriculture Production|Nursery and Tree Production
01810101|BEDDING PLANTS, GROWING OF                        ||111421|Agriculture, Forestry, Fishing and Hunting|Crop Production|Greenhouse, Nursery, and Floriculture Production|Nursery and Floriculture Production|Nursery and Tree Production
01810102|FOLIAGE, GROWING OF                               ||111421|Agriculture, Forestry, Fishing and Hunting|Crop Production|Greenhouse, Nursery, and Floriculture Production|Nursery and Floriculture Production|Nursery and Tree Production
01810103|MATS, PRESEEDED: SOIL EROSION, GROWING OF         ||111421|Agriculture, Forestry, Fishing and Hunting|Crop Production|Greenhouse, Nursery, and Floriculture Production|Nursery and Floriculture Production|Nursery and Tree Production
01810104|NURSERY STOCK, GROWING OF                         ||111421|Agriculture, Forestry, Fishing and Hunting|Crop Production|Greenhouse, Nursery, and Floriculture Production|Nursery and Floriculture Production|Nursery and Tree Production
01810105|PLANTS, POTTED: GROWING OF                        ||111421|Agriculture, Forestry, Fishing and Hunting|Crop Production|Greenhouse, Nursery, and Floriculture Production|Nursery and Floriculture Production|Nursery and Tree Production
01810106|SHRUBBERIES, GROWN IN FIELD NURSERIES             ||111421|Agriculture, Forestry, Fishing and Hunting|Crop Production|Greenhouse, Nursery, and Floriculture Production|Nursery and Floriculture Production|Nursery and Tree Production
01810107|SHRUBBERIES, GROWN UNDER COVER (EG GREENHOUSE PROD||111421|Agriculture, Forestry, Fishing and Hunting|Crop Production|Greenhouse, Nursery, and Floriculture Production|Nursery and Floriculture Production|Nursery and Tree Production
01819900|ORNAMENTAL NURSERY PRODUCTS, NEC                  ||111421|Agriculture, Forestry, Fishing and Hunting|Crop Production|Greenhouse, Nursery, and Floriculture Production|Nursery and Floriculture Production|Nursery and Tree Production
01819901|FRUIT STOCKS, GROWING OF                          ||111320|Agriculture, Forestry, Fishing and Hunting|Crop Production|Fruit and Tree Nut Farming|Citrus (except Orange) Groves|Citrus (except Orange) Groves
01819902|SOD FARMS                                         ||111421|Agriculture, Forestry, Fishing and Hunting|Crop Production|Greenhouse, Nursery, and Floriculture Production|Nursery and Floriculture Production|Nursery and Tree Production
02140000|SHEEP AND GOATS                                   ||112410|Agriculture, Forestry, Fishing and Hunting|Animal Production and Aquaculture|Sheep and Goat Farming|Sheep Farming|Sheep Farming
07319900|AGRICULTURAL CO-OP SERVICES, NEC                  ||115116|Agriculture, Forestry, Fishing and Hunting|Support Activities for Agriculture and Forestry|Support Activities for Crop Production|Support Activities for Crop Production|Farm Management Services
12210102|CULM BANK MINING                                  ||111998|Agriculture, Forestry, Fishing and Hunting|Crop Production|Other Crop Farming|All Other Crop Farming|All Other Miscellaneous Crop Farming
12410200|MINE PREPARATION SERVICES                         ||213115|Mining, Quarrying, and Oil and Gas Extraction|Support Activities for Mining|Support Activities for Mining|Support Activities for Mining|Support Activities for Nonmetallic Minerals (except Fuels) Mining
13110000|CRUDE PETROLEUM AND NATURAL GAS                   ||211120|Mining, Quarrying, and Oil and Gas Extraction|Oil and Gas Extraction|Oil and Gas Extraction|Crude Petroleum Extraction|Crude Petroleum Extraction
