bcid|bc1|bc2|bc3
10-105-124|Retail|Art Dealers|Art Dealers
10-107-133|Retail|Auto Parts|Automotive Parts and Accessories Stores
10-107-510|Retail|Auto Parts|Tire Dealers
10-111-142|Retail|Book Stores|Book Stores
10-112-267|Retail|Building Materials|Hardware Stores
10-112-274|Retail|Building Materials|Home Centers
10-112-368|Retail|Building Materials|Other Building Material Dealers
10-112-419|Retail|Building Materials|Paint and Wallpaper Stores
10-113-342|Retail|Car Dealers|New Car Dealers
10-113-522|Retail|Car Dealers|Used Car Dealers
10-119-163|Retail|Clothing Stores|Children's Clothing Stores
10-119-165|Retail|Clothing Stores|Clothing Accessories Stores
10-119-226|Retail|Clothing Stores|Family Clothing Stores
10-119-320|Retail|Clothing Stores|Men's Clothing Stores
10-119-371|Retail|Clothing Stores|Other Clothing Stores
10-119-539|Retail|Clothing Stores|Women's Clothing Stores
10-127-200|Retail|Department Stores|Department Stores
10-135-215|Retail|Electronics Stores|Electronics Stores
10-140-239|Retail|Florists|Florists
10-142-253|Retail|Furniture Stores|Furniture Stores
10-145-257|Retail|Gasoline Stations|Gasoline Stations with Convenience Stores
10-145-382|Retail|Gasoline Stations|Other Gasoline Stations
10-148-385|Retail|General Merchandise Stores|Other General Merchandise Stores
10-148-528|Retail|General Merchandise Stores|Warehouse Clubs and Supercenters
10-149-262|Retail|Gift Stores|Gift Stores
10-151-189|Retail|Grocery Stores|Convenience Stores
10-151-498|Retail|Grocery Stores|Supermarkets and Other Grocery Stores
10-153-191|Retail|Health and Wellness|Cosmetics and Beauty Supply Stores
10-153-243|Retail|Health and Wellness|Food Supplement Stores
10-153-362|Retail|Health and Wellness|Optical Goods Stores
10-153-387|Retail|Health and Wellness|Other Health and Personal Care Stores
10-154-238|Retail|Home Furnishings Stores|Floor Covering Stores
10-154-388|Retail|Home Furnishings Stores|Other Home Furnishings Stores
10-154-536|Retail|Home Furnishings Stores|Window Treatment Stores
10-156-279|Retail|Household Appliance Stores|Household Appliance Stores
10-165-294|Retail|Jewelry Stores|Jewelry Stores
10-168-256|Retail|Lawn and Garden Equipment Stores|Garden and Farm Supply Stores
10-168-416|Retail|Lawn and Garden Equipment Stores|Outdoor Power Equipment Stores
10-169-306|Retail|Liquor Stores|Liquor Stores
10-176-272|Retail|Miscellaneous Retail|Hobby, Toy, and Game Stores
10-176-310|Retail|Miscellaneous Retail|Luggage and Leather Goods Stores
10-176-314|Retail|Miscellaneous Retail|Manufactured Home Dealers
